분류,코드값,상세설명
직업,89190,그 외 목재 및 종이 관련 기계 조작원
직업,89211,인쇄 필름 출력원
직업,89212,인쇄판 출력원
직업,89213,오프셋인쇄기 조작원
직업,89214,윤전인쇄기 조작원
직업,89215,경인쇄기 조작원
직업,89216,디지털인쇄기 조작원
직업,89217,그라비어인쇄기 조작원
직업,89218,제책 및 재단용 기계 조작원
직업,89219,그 외 인쇄기 조작원
직업,89221,사진 인화 및 현상기 조작원
직업,89229,그 외 사진 인화 및 현상기 조작원
직업,89901,주입·포장 및 봉함기 조작원
직업,89902,상표 부착기 조작원
직업,89903,케이블 및 배관 부설기 조작원
직업,89904,공기압축기 조작원
직업,89909,그 외 기계 조작원
직업,91001,건설 단순 종사원
직업,91002,광업 단순 종사원
직업,92101,하역 및 적재 관련 단순 종사원
직업,92102,이삿짐 운반원
직업,92109,그 외 하역 및 적재 단순 종사원
직업,92210,우편집배원
직업,92221,택배원
직업,92229,그 외 택배원
직업,92230,음식 배달원
직업,92291,음료 배달원
직업,85103,드릴링기 및 보링기 조작원
직업,85104,연삭기 및 연마기 조작원
직업,85105,프레스기 및 절단기 조작원
직업,85106,금속절곡기 조작원
직업,85107,머시닝센터 조작원
직업,85109,그 외 금속 공작 기계 조작원
직업,85201,냉난방기 관련 설비 조작원
직업,85202,냉동 및 냉장기 설비 조작원
직업,85203,공조기설비 조작원
직업,85301,자동 조립라인 조작원
직업,85302,산업용로봇 조작원
직업,85410,자동차 조립원
직업,85421,자동차 엔진 조립원
직업,85422,자동차 차체 부품 조립원
직업,85429,그 외 자동차 부품 조립원
직업,85431,철도차량 조립원
직업,85432,선박 조립원
직업,85433,항공기 조립원
직업,85439,그 외 운송장비 조립원
직업,85441,공업기계 조립원
직업,85442,농업기계 조립원
직업,85443,건설기계 조립원
직업,85444,공작기계 조립원
직업,85445,공구 조립원
직업,85449,그 외 일반기계 조립원
직업,85500,금속기계 부품 조립원
직업,86101,화력발전장치 운전원
직업,86102,수력발전장치 운전원
직업,86103,원자력발전장치 운전원
직업,86104,발전터빈 조작원
직업,86105,배전반 조작원
직업,86109,그 외 발전 및 배전장치 조작원
직업,86201,건물 전기 및 전자설비 조작원
직업,86202,공장 전기 및 전자설비 조작원
직업,86209,그 외 전기 및 전자설비 조작원
직업,86311,전기 부품 제조 기계 조작원
직업,86312,전기제품 제조 기계 조작원
직업,86321,전자 부품 제조 기계 조작원
직업,86322,전자제품 제조 기계 조작원
직업,86401,전기장비 조립원
직업,86402,영상 및 음향장비 조립원
직업,86403,전자 및 정밀 기구 조립원
직업,86404,가정용 전기 및 전자제품 조립원
직업,86409,그 외 전기·전자 부품 및 제품 조립원
직업,87101,고속철 기관사
직업,87102,철도 기관사
직업,87103,전동차 기관사
직업,87109,그 외 철도 및 전동차 기관사
직업,87200,철도운송 관련 종사원
직업,87310,택시 운전원
직업,87321,시내버스 운전원
직업,87322,시외 및 고속 버스 운전원
직업,87323,관광버스 운전원
직업,87329,그 외 버스 운전원
직업,87331,경·소형 화물차 운전원
직업,87332,중형 화물차 운전원
직업,87333,대형 화물차 운전원
직업,82301,드라이클리닝기 조작원
직업,82309,그 외 세탁 관련 기계 조작원
직업,83111,원유 처리 장치 조작원
직업,83112,석유 및 천연가스 정제 장치 조작원
직업,83113,폐유 및 재생유 처리 장치 조작원
직업,83119,그 외 석유 및 천연가스 제조 관련 제어 장치 조작원
직업,83121,화학물 분쇄기·마쇄기 및 혼합기 조작원
직업,83122,화학물 가열 처리 장치 조작원
직업,83123,화학물 여과기 및 분리기 조작원
직업,83124,화학물 증류기 및 반응기 조작원
직업,83129,그 외 화학물 가공 장치 조작원
직업,83190,그 외 석유 및 화학물 가공 장치 조작원
직업,83211,약제품 생산기 조작원
직업,83212,화장품 생산기 조작원
직업,83213,세제 생산기 조작원
직업,83214,비료 생산기 조작원
직업,83215,필름 생산기 조작원
직업,83216,가스 생산기 조작원
직업,83219,그 외 화학제품 생산기 조작원
직업,83221,타이어 생산기 조작원
직업,83222,고무제품 생산기 조작원
직업,83229,그 외 타이어 및 고무제품 생산기 조작원
직업,83231,플라스틱 사출기 조작원
직업,83232,플라스틱 압출기 조작원
직업,83239,그 외 플라스틱제품 생산기 조작원
직업,83241,고무제품 조립원
직업,83242,플라스틱제품 조립원
직업,84110,주조기 조작원
직업,84120,단조기 조작원
직업,84130,용접기 조작원
직업,84141,광석 및 금속용광로 조작원
직업,84142,금속용해로 및 금속가열로 조작원
직업,84149,그 외 금속가공 관련 제어 장치 조작원
직업,84151,압연기 조작원
직업,84152,인발기 조작원
직업,84153,연선기 조작원
직업,84154,압출기 조작원
직업,84155,금속 열처리로 조작원
직업,84159,그 외 금속가공 기계 조작원
직업,84160,제관기 조작원
직업,84170,판금기 조작원
직업,84211,차량 도장기 조작원
직업,84212,가구 도장기 조작원
직업,84213,금속제품 도장기 조작원
직업,84219,그 외 도장기 조작원
직업,84221,금속 세척기 조작원
직업,84222,전기 도금기 조작원
직업,84223,용융 도금기 조작원
직업,84224,금속 분무기 조작원
직업,84225,금속코팅·광택 및 래미네이팅기 조작원
직업,84229,그 외 도금 및 금속 분무기 조작원
직업,84311,유리 제조 및 제품 가공기 조작원
직업,84312,렌즈 및 프리즘 가공기 조작원
직업,84319,그 외 유리 제조 및 가공기 조작원
직업,84321,도자기제품 생산기 조작원
직업,84322,벽돌 및 타일 생산기 조작원
직업,84329,그 외 점토제품 생산기 조작원
직업,84331,시멘트 및 석회 제조 관련 조작원
직업,84332,콘크리트제품 제조 관련 조작원
직업,84339,그 외 시멘트 및 광물제품 제조기 조작원
직업,84341,광석 및 석재 가공장치 조작원
직업,84342,석제품 가공기 조작원
직업,84391,유약 생산기 조작원
직업,84392,광택제 생산기 조작원
직업,84399,그 외 비금속제품 관련 생산기 조작원
직업,85101,선반기 조작원
직업,85102,밀링기 조작원
직업,79111,도자기 공예원
직업,79112,목 공예원
직업,79113,석 공예원
직업,79114,종이 공예원
직업,79119,그 외 공예원
직업,79121,귀금속 세공원
직업,79122,보석 세공원
직업,79129,그 외 귀금속 및 보석 세공원
직업,79211,상·하수 배관공
직업,79212,가스 배관공
직업,79221,플랜트 배관공
직업,79222,선박 배관공
직업,79223,항공기 배관공
직업,79290,그 외 배관공
직업,79911,배관 세정원
직업,79912,건물 외벽 세정원
직업,79913,방역원
직업,79919,그 외 배관 세정원 및 방역원
직업,79991,인쇄 관련 기능 종사원
직업,79992,유리 관련 기능 종사원
직업,79999,그 외 기능 관련 종사원
직업,81111,곡물 및 사료 제분기 조작원
직업,81112,조미료 제분기 조작원
직업,81113,도정기 조작원
직업,81119,그 외 제분 및 도정 관련 기계 조작원
직업,81121,빵·과자 및 떡 제조 기계 조작원
직업,81122,두부 및 유사 제품 기계 조작원
직업,81123,국수 및 면류 제품 기계 조작원
직업,81124,사탕·껌 및 초콜릿 제품 기계 조작원
직업,81129,그 외 곡물가공 제품 기계 조작원
직업,81131,육류가공 기계 조작원
직업,81132,어패류가공 기계 조작원
직업,81133,낙농품가공 기계 조작원
직업,81140,과실 및 채소 가공 관련 기계 조작원
직업,81201,알코올성 음료 제조기 조작원
직업,81202,비알코올성 음료 제조기 조작원
직업,81209,그 외 음료 제조 관련 기계 조작원
직업,81901,유지 제조기 조작원
직업,81902,조미 식품 생산기 조작원
직업,81903,설탕 제조 관련 기계 조작원
직업,81904,커피 및 차류 제조기 조작원
직업,81905,담배 제조 관련 기계 조작원
직업,81906,건강식품 가공기 조작원
직업,81909,그 외 식품가공 관련 기계 조작원
직업,82110,섬유 제조 기계 조작원
직업,82121,표백기 조작원
직업,82122,염색 조색 및 배합기 조작원
직업,82123,날염기 조작원
직업,82124,염색기 조작원
직업,82129,그 외 표백 및 염색 관련 기계 조작원
직업,82211,제직기 조작원
직업,82212,편직기 조작원
직업,82219,그 외 직조기 및 편직기 조작원
직업,82220,신발 제조기 조작원 및 조립원
직업,82291,가죽 및 모피 가공원
직업,82292,자동 재단기 조작원
직업,82293,자동 재봉설비 조작원
직업,82299,그 외 직물·신발 관련 기계 조작원 및 조립원
직업,76193,포스시스템 설치 및 수리원
직업,76194,영상·전자음향기기 설치 및 수리원
직업,76195,의료기기 설치 및 수리원
직업,76196,시계 및 카메라 수리원
직업,76197,광학기구 수리원
직업,76199,그 외 전기·전자기기 설치 및 수리원
직업,76211,항공기 전기 설치원
직업,76212,선박 전기 설치원
직업,76213,철도차량 전기 설치원
직업,76214,플랜트 전기 설치원
직업,76219,그 외 산업 전기 설치원
직업,76221,건물 내 전기 설치 및 정비원
직업,76222,비상 발전기 설치 및 정비원
직업,76223,조명 기구 설치 및 수리원
직업,76224,전기제어장치 설치 및 정비원
직업,76225,전기기기 설치 및 정비원
직업,76229,그 외 내선 설치 및 정비원
직업,76231,송배전설비 전기원
직업,76232,지중 전력설비 전기원
직업,76233,전기케이블 접속원
직업,76234,철도 고가 전선 가설원
직업,76239,그 외 외선 전기원
직업,77110,컴퓨터 설치 및 수리원
직업,77120,이동전화기 수리원
직업,77190,그 외 정보 통신기기 설치 및 수리원
직업,77211,방송장비 설치 및 수리원
직업,77212,위성방송 안테나 설치 및 수리원
직업,77221,통신장비 설치 및 수리원
직업,77222,기지국 설치 및 수리원
직업,77231,통신케이블 설치 및 수리원
직업,77232,방송케이블 설치 및 수리원
직업,77233,인터넷케이블 설치 및 수리원
직업,78111,강구조물 가공원
직업,78112,강구조물 건립원
직업,78120,경량 철골공
직업,78210,철근공
직업,78221,인조석 설치원
직업,78222,콘크리트패널 조립원
직업,78223,콘크리트 타설원
직업,78230,건축 석공
직업,78241,전통 건물 건축원
직업,78242,외장 목공
직업,78243,형틀 목공
직업,78244,내장 목공
직업,78251,조적공
직업,78252,보도블록 설치원
직업,78253,석재 부설원
직업,78259,그 외 조적공 및 석재 부설원
직업,78291,비계공
직업,78292,건물 칸막이 설치원
직업,78293,건물 해체원
직업,78299,그 외 건설 관련 기능 종사원
직업,78310,미장공
직업,78320,방수공
직업,78330,단열공
직업,78341,마루 설치원
직업,78342,타일 부착원
직업,78343,대리석 부착원
직업,78349,그 외 바닥재 시공원
직업,78351,도배공
직업,78352,유리 부착원
직업,78361,건물 도장공
직업,78369,그 외 건축 도장공
직업,78370,새시 조립 및 설치원
직업,78391,건물 수리원
직업,78399,그 외 건축 마감 관련 기능 종사원
직업,78411,광원
직업,78412,채석원
직업,78413,석재 절단원
직업,78421,철로 설치원
직업,78422,철로 보수원
직업,78491,점화·발파 및 화약 관리원
직업,78492,잠수 기능원
직업,78493,삭구원 및 케이블 접속원
직업,78494,천일염 생산 종사원
직업,78499,그 외 채굴 및 토목 관련 종사원
직업,72221,양장 제조원
직업,72222,양복 제조원
직업,72230,모피 및 가죽 의복 제조원
직업,72241,의복 수선원
직업,72242,가죽 및 모피 수선원
직업,72243,구두 수선원
직업,72249,그 외 수선원
직업,72290,그 외 의복 제조 관련 기능 종사원
직업,73011,목재케이스 및 나무상자 제조원
직업,73019,그 외 목제품 제조 관련 종사원
직업,73021,가구 제조원
직업,73022,가구 수리원
직업,73031,악기 제조 및 수리원
직업,73032,조율사
직업,73040,간판 제작 및 설치원
직업,74110,금형원
직업,74121,목형원
직업,74122,주형원
직업,74123,금속 주입원
직업,74130,단조원
직업,74210,제관원
직업,74220,판금원
직업,74301,가스 용접원
직업,74302,전기 용접원
직업,74309,그 외 용접원
직업,75101,자동차 엔진 정비원
직업,75102,자동차 섀시 정비원
직업,75103,자동차 전기 및 전자 정비원
직업,75104,자동차 판금 정비원
직업,75105,자동차 도장 정비원
직업,75106,자동차 경정비원
직업,75107,자동차 튜닝원
직업,75109,그 외 자동차 정비원
직업,75211,비행기 정비원
직업,75212,헬리콥터 정비원
직업,75220,선박 정비원
직업,75231,고속철 기관차 정비원
직업,75232,철도 기관차 정비원
직업,75233,전동차 정비원
직업,75234,여객차 및 화차 정비원
직업,75291,오토바이 정비원
직업,75292,자전거 정비원
직업,75299,그 외 운송장비 정비원
직업,75311,식품기계 설치 및 정비원
직업,75312,섬유기계 설치 및 정비원
직업,75313,화학기계 설치 및 정비원
직업,75314,공작기계 설치 및 정비원
직업,75315,전자 제품 기계 설치 및 정비원
직업,75319,그 외 공업기계 설치 및 정비원
직업,75321,엘리베이터 설치 및 정비원
직업,75322,에스컬레이터 설치 및 정비원
직업,75323,휠체어 리프트 설치 및 정비원
직업,75331,크레인 설치 및 정비원
직업,75332,호이스트 설치 및 정비원
직업,75333,지게차 정비원
직업,75339,그 외 물품 이동 장비 설치 및 정비원
직업,75341,건물용 냉동·냉장·공조기 설치 및 정비원
직업,75349,그 외 냉동·냉장·공조기 설치 및 정비원
직업,75351,건물용 보일러 설치 및 정비원
직업,75359,그 외 보일러 설치 및 정비원
직업,75361,건설용 굴삭기 정비원
직업,75362,광업용 기계 설치 및 정비원
직업,75369,그 외 건설용 기계 정비원
직업,75391,농업용 기계 설치 및 정비원
직업,75399,그 외 기계장비 설치 및 정비원
직업,76110,사무용 전자기기 설치 및 수리원
직업,76120,가전제품 설치 및 수리원
직업,76191,감시카메라 설치 및 수리원
직업,76192,현금인출기 설치 및 수리원
직업,52131,항공권 판매원
직업,52132,승차권 판매원
직업,52133,입장권 판매원
직업,52134,복권 및 마권 판매원
직업,52139,그 외 매표원 및 복권 판매원
직업,52141,매장 계산원
직업,52142,요금 정산원
직업,52201,자동차 대여원
직업,52202,생활용품 대여원
직업,52203,사무용품 대여원
직업,52204,오락 및 스포츠용품 대여원
직업,52205,도서 및 영상 기록 매체 대여원
직업,52209,그 외 상품 대여원
직업,53110,단말기 및 통신 서비스 판매원
직업,53120,온라인 쇼핑 판매원
직업,53130,텔레마케터
직업,53210,방문 판매원
직업,53220,노점 및 이동 판매원
직업,53231,행사 및 홍보 도우미
직업,53232,판촉원
직업,61110,곡식작물 재배원
직업,61121,채소작물 재배원
직업,61122,특용작물 재배원
직업,61130,과수작물 재배원
직업,61211,육묘작물 재배원
직업,61212,화훼작물 재배원
직업,61220,조경원
직업,61311,젖소 사육자
직업,61319,그 외 낙농업 관련 종사원
직업,61321,육우 사육자
직업,61322,돼지 사육자
직업,61323,가금 사육자
직업,61329,그 외 가축 사육 종사원
직업,61391,양봉 종사원
직업,61392,수렵 종사원
직업,61393,동물 부화원
직업,61394,감별사
직업,61395,동물원 사육사
직업,61399,그 외 사육 관련 종사원
직업,62011,조림원 및 산림경영인
직업,62012,벌목원
직업,62091,임산물 채취 종사원
직업,62099,그 외 임업 관련 종사원
직업,63011,어패류 양식원
직업,63012,해조류 양식원
직업,63019,그 외 양식원
직업,63021,원근해 어부
직업,63022,내수면 어부
직업,63023,해녀
직업,71010,제빵사 및 제과원
직업,71020,떡 제조원
직업,71031,정육가공원
직업,71032,도축원
직업,71039,그 외 정육가공 및 도축 관련 종사원
직업,71041,식품 등급원
직업,71042,담배 등급원
직업,71051,김치 제조 종사원
직업,71052,밑반찬 제조 종사원
직업,71091,건강원 및 탕제원 종사원
직업,71092,수산물가공 및 염장원
직업,71099,그 외 수제 식품 제조 종사원
직업,72111,직물 패턴사
직업,72112,가죽 패턴사
직업,72113,모피 패턴사
직업,72119,그 외 패턴사
직업,72121,의복 재단사
직업,72122,신발 및 구두 재단사
직업,72129,그 외 재단사
직업,72131,직물 재봉사
직업,72132,가죽 및 모피 재봉사
직업,72133,신발 재봉사
직업,72134,기계 자수사
직업,72139,그 외 재봉사
직업,72140,제화원
직업,72191,모자 제조원
직업,72192,카펫 및 가발 제조원
직업,72193,시트 제품 제조원
직업,72194,수날염원
직업,72195,섬유 및 펠트 관련 선별원
직업,72199,그 외 섬유 및 가죽 관련 기능 종사원
직업,72210,한복 제조원
직업,42911,반려동물 미용사
직업,42912,반려동물 훈련사
직업,42913,수의사 보조원
직업,42921,점술가
직업,42922,민속신앙 관련 종사원
직업,42930,개인 생활 서비스 종사원
직업,43110,항공기 객실 승무원
직업,43121,선박 객실 승무원
직업,43122,열차 객실 승무원
직업,43211,국내여행 안내원
직업,43212,국외여행 안내원
직업,43213,관광 통역 안내원
직업,43214,미술관·박물관 해설 및 안내원
직업,43215,전시 및 시설 견학 안내원
직업,43216,문화 관광 및 숲·자연환경 해설사
직업,43221,호텔 서비스원
직업,43229,그 외 숙박시설 서비스원
직업,43231,유원시설 및 테마파크 서비스원
직업,43232,노래방 서비스원
직업,43239,그 외 오락시설 서비스원
직업,43291,카지노 딜러
직업,43292,골프장 캐디
직업,43293,응원단원
직업,43299,그 외 여가 서비스원
직업,44110,한식 조리사
직업,44120,중식 조리사
직업,44130,양식 조리사
직업,44140,일식 조리사
직업,44151,커피 조리사
직업,44152,전통차 조리사
직업,44159,그 외 음료 조리사
직업,44191,분식 조리사
직업,44199,그 외 조리사
직업,44210,바텐더
직업,44221,음식 서비스 종사원
직업,44222,음료 서비스 종사원
직업,44223,주류 서비스 종사원
직업,44290,그 외 음식 서비스 종사원
직업,51011,신차 영업원
직업,51012,중고차 영업원
직업,51021,건축자재 영업원
직업,51022,인쇄 및 광고 영업원
직업,51023,식품 영업원
직업,51024,체인점 모집 및 관리 영업원
직업,51029,그 외 일반 영업원
직업,51031,보험 중개인
직업,51032,보험 설계사
직업,51033,투자 권유 대행인
직업,51041,대출 모집인
직업,51042,신용카드 모집인
직업,52111,소규모 상점 경영자
직업,52112,소규모 상점 일선 관리 종사원
직업,52121,의류 판매원
직업,52122,화장품 판매원
직업,52123,가전제품 판매원
직업,52124,가구 판매원
직업,52125,신발 및 액세서리 판매원
직업,52126,서적·문구 및 음반 판매원
직업,52127,원예작물 판매원
직업,52128,음식료품 판매원
직업,52129,그 외 상점 판매원
직업,31411,관리 비서
직업,31412,일반 비서
직업,31421,약국 전산 관리원
직업,31422,전산 자료 입력원
직업,31423,사무 보조원
직업,32010,출납 창구 사무원
직업,32021,보험 심사원
직업,32022,보험 사무원
직업,32030,은행 사무원
직업,32040,증권 사무원
직업,32051,수금원
직업,32052,신용 추심원
직업,32090,그 외 금융 사무원
직업,33011,법무 사무원
직업,33012,특허 사무원
직업,33019,그 외 법률 관련 사무원
직업,33020,감사 사무원
직업,39101,통계 사무원
직업,39102,통계 및 설문 조사 사무원
직업,39109,그 외 통계 관련 사무원
직업,39210,여행 사무원
직업,39221,예약 및 접수 사무원
직업,39222,데스크 안내원
직업,39223,방송 안내원
직업,39224,전화교환 및 전화번호 안내원
직업,39229,그 외 안내·접수원 및 전화교환원
직업,39911,의료 서비스 상담 종사원
직업,39912,전화 상담원
직업,39913,방문 고객 상담원
직업,39914,모니터 요원
직업,39915,중개 사무원
직업,39919,그 외 고객 상담 사무원
직업,39991,출판 및 자료편집 사무원
직업,39992,속기사
직업,39993,행정사
직업,39994,취업 알선원
직업,39999,그 외 사무원
직업,41111,해양 경찰관 및 수사관
직업,41112,일반 경찰관 및 수사관
직업,41120,소방관
직업,41131,소년원 학교 교사
직업,41132,교도관
직업,41210,경호원
직업,41220,청원경찰
직업,41231,시설 경비원
직업,41232,호송 경비원
직업,41233,기계 경비원
직업,41234,특수 경비원
직업,41239,그 외 시설 및 특수 경비원
직업,41291,보안 관제원
직업,41292,유통 및 매장 감시원
직업,41293,주차 단속원
직업,41299,그 외 경호 및 보안 관련 종사원
직업,42111,요양 보호사
직업,42112,간병인
직업,42113,노인 및 장애인 돌봄 서비스 종사원
직업,42122,교사 교육 보조원
직업,42191,산후조리 종사원
직업,42192,치료사 보조원
직업,42199,그 외 돌봄 및 보건 서비스 종사원
직업,42210,이용사
직업,42220,미용사
직업,42231,피부 관리사
직업,42232,체형 관리사
직업,42233,손톱 관리사
직업,42234,목욕 관리사
직업,42239,그 외 피부 및 체형 관리 종사원
직업,42241,메이크업 아티스트
직업,42242,특수 분장사
직업,42243,분장사
직업,42291,패션 코디네이터
직업,42292,이미지컨설턴트
직업,42299,그 외 미용 관련 서비스 종사원
직업,42311,결혼상담원
직업,42312,웨딩플래너
직업,42320,혼례 종사원
직업,42331,장례 상담원
직업,42332,장례 지도사
직업,28521,직물 디자이너
직업,28522,의상 디자이너
직업,28523,액세서리 디자이너
직업,28524,가방 및 신발 디자이너
직업,28531,인테리어 디자이너
직업,28532,디스플레이 디자이너
직업,28533,무대 및 세트 디자이너
직업,28541,광고 디자이너
직업,28542,포장 디자이너
직업,28543,책 디자이너
직업,28544,삽화가
직업,28545,색채 전문가
직업,28546,활자 디자이너
직업,28549,그 외 시각 디자이너
직업,28551,웹 디자이너
직업,28552,멀티미디어 디자이너
직업,28553,게임 그래픽 디자이너
직업,28554,사용자 경험 및 인터페이스 디자이너
직업,28559,그 외 미디어 콘텐츠 디자이너
직업,28611,스포츠 감독
직업,28612,스포츠 코치
직업,28620,직업 운동선수
직업,28631,경기 심판
직업,28632,경기 기록원
직업,28691,스포츠 강사 및 트레이너
직업,28692,레크리에이션 전문가
직업,28701,주방장
직업,28702,요리 연구가
직업,28810,공연·영화 및 음반 기획자
직업,28821,연예인 매니저
직업,28822,스포츠 매니저
직업,31110,조세행정 사무원
직업,31120,관세행정 사무원
직업,31130,병무행정 사무원
직업,31141,국가행정 사무원
직업,31142,지방행정 사무원
직업,31150,공공행정 사무원
직업,31211,경영 기획 사무원
직업,31212,영업 관리 사무원
직업,31213,광고 및 홍보 사무원
직업,31214,분양 및 임대 사무원
직업,31215,판매 사무원
직업,31219,그 외 기획 및 마케팅 사무원
직업,31221,인사 및 노무 사무원
직업,31222,교육 및 훈련 사무원
직업,31230,자재 관리 사무원
직업,31241,생산관리 사무원
직업,31242,품질 관리 사무원
직업,31250,무역 사무원
직업,31261,도로운송 사무원
직업,31262,철도운송 사무원
직업,31263,수상운송 사무원
직업,31264,항공운송 사무원
직업,31271,총무 사무원
직업,31272,대학 행정조교
직업,31310,회계 사무원
직업,31320,경리 사무원
직업,27353,국내 및 국제회의 기획자
직업,27411,부동산 감정 전문가
직업,27412,동산 감정 전문가
직업,27420,해외 영업원
직업,27431,자동차 부품 기술 영업원
직업,27432,전자 및 통신장비 기술 영업원
직업,27433,의료장비 기술 영업원
직업,27434,농업용 기계장비 기술 영업원
직업,27435,산업용 기계장비 기술 영업원
직업,27436,의약품 영업원
직업,27439,그 외 기술 영업원
직업,27441,농수산물 중개인 및 경매사
직업,27442,예술품 중개인 및 경매사
직업,27449,그 외 상품 중개인 및 경매사
직업,27451,부동산 컨설턴트
직업,27452,부동산 중개사
직업,27490,그 외 기술 영업 및 중개 관련 종사원
직업,28111,방송 및 시나리오 작가
직업,28112,문학작가
직업,28119,그 외 작가
직업,28121,출판물 기획자
직업,28122,출판물 편집자
직업,28131,기자
직업,28132,평론가
직업,28139,그 외 언론 관련 전문가
직업,28141,번역가
직업,28142,통역가
직업,28211,학예사
직업,28212,문화재 보존원
직업,28221,사서
직업,28222,기록물 관리사
직업,28311,감독 및 연출가
직업,28312,기술 감독
직업,28319,그 외 감독 및 연출가
직업,28321,배우
직업,28322,개그맨 및 코미디언
직업,28323,성우
직업,28324,모델
직업,28329,그 외 배우 및 모델
직업,28331,아나운서
직업,28332,리포터
직업,28333,쇼핑호스트
직업,28339,그 외 아나운서 및 리포터
직업,28340,촬영기사
직업,28350,음향 및 녹음 기사
직업,28360,영상·녹화 및 편집 기사
직업,28371,조명기사
직업,28372,영사기사
직업,28391,미디어 콘텐츠 창작자
직업,28392,스크립터
직업,28393,무대의상 관리원
직업,28394,소품 관리원
직업,28395,방송 및 영화연출 보조원
직업,28396,보조 연기자
직업,28399,그 외 연극·영화 및 영상 관련 종사원
직업,28411,화가
직업,28412,조각가
직업,28413,서예가
직업,28421,사진작가
직업,28422,사진기자
직업,28423,사진가
직업,28431,만화가
직업,28432,만화영화 작가
직업,28441,국악인
직업,28442,국악 연주가
직업,28443,국악 작곡 및 편곡가
직업,28444,전통 예능인
직업,28451,지휘자
직업,28452,작곡가 및 편곡가
직업,28453,연주가
직업,28461,가수
직업,28462,성악가
직업,28471,무용가
직업,28472,안무가
직업,28490,그 외 시각 및 공연 예술가
직업,28511,자동차 디자이너
직업,28512,가구 디자이너
직업,28519,그 외 제품 디자이너
직업,25214,과학 교사
직업,25215,예체능 교사
직업,25216,실업 교사
직업,25217,외국어 교사
직업,25219,그 외 중·고등학교 교사
직업,25220,초등학교 교사
직업,25231,시각장애인 특수교육 교사
직업,25232,청각장애인 특수교육 교사
직업,25239,그 외 특수교육 교사
직업,25300,유치원 교사
직업,25411,국어 강사
직업,25412,수학 강사
직업,25413,사회 강사
직업,25414,과학 강사
직업,25415,외국어 강사
직업,25419,그 외 문리 및 어학 강사
직업,25420,컴퓨터 강사
직업,25431,디자인 강사
직업,25432,이·미용 강사
직업,25433,자동차 운전 강사
직업,25434,요리 강사
직업,25439,그 외 기술 및 기능계 강사
직업,25441,음악 강사
직업,25442,미술 강사
직업,25443,무용 강사
직업,25449,그 외 예능 강사
직업,25451,학습지 방문강사
직업,25452,교육 교구 방문강사
직업,25491,교육 연수 기관 강사
직업,25492,기업체 직무 훈련 강사
직업,25499,그 외 문리·기술 및 예능 강사
직업,25911,장학관 및 장학사
직업,25912,교육 연구관 및 교육 연구사
직업,25913,입학 사정관
직업,25919,그 외 교육 전문가
직업,25920,대학 교육 조교
직업,25990,그 외 교사
직업,26111,판사
직업,26112,검사
직업,26120,변호사
직업,26131,법무사
직업,26132,집행관
직업,26140,변리사
직업,26190,그 외 법률 전문가
직업,26201,정부행정 전문가
직업,26202,공공행정 전문가
직업,27111,노무사
직업,27112,인사 컨설턴트
직업,27113,헤드헌터
직업,27119,그 외 인사 및 노사 관련 전문가
직업,27120,회계사
직업,27130,세무사
직업,27140,관세사
직업,27151,경영 컨설턴트
직업,27152,기업 인수 및 합병 전문가
직업,27153,품질 인증 심사 전문가
직업,27159,그 외 경영 및 진단 전문가
직업,27211,투자 및 증권 분석가
직업,27212,신용 분석가
직업,27221,금융자산 운용가
직업,27229,그 외 자산 운용가
직업,27231,보험 상품 개발자
직업,27232,금융 상품 개발자
직업,27241,증권 중개인
직업,27242,선물거래 중개인
직업,27243,외환 딜러
직업,27250,손해 사정사
직업,27291,투자 인수 심사원
직업,27292,보험 인수 심사원
직업,27293,투자신탁 전문가
직업,27299,그 외 금융 및 보험 관련 전문가
직업,27311,상품 기획자
직업,27312,마케팅 전문가
직업,27320,여행 상품 개발자
직업,27331,광고 전문가
직업,27332,홍보 전문가
직업,27340,조사 전문가
직업,27351,이벤트 전문가
직업,27352,행사 전시 기획자
직업,24120,일반 의사
직업,24131,전문 한의사
직업,24132,일반 한의사
직업,24141,치과 전문 의사
직업,24142,치과 일반 의사
직업,24150,수의사
직업,24201,약사
직업,24202,한약사
직업,24301,전문 간호사
직업,24302,일반 간호사
직업,24303,보건교사
직업,24304,조산사
직업,24401,임상영양사
직업,24402,일반영양사
직업,24403,영양교사
직업,24510,임상병리사
직업,24520,방사선사
직업,24530,치과기공사
직업,24540,치과위생사
직업,24551,의지 보조기기사
직업,24552,보조공학사
직업,24561,물리치료사
직업,24562,작업치료사
직업,24570,임상심리사
직업,24591,전통 의료치료사
직업,24592,언어재활사
직업,24593,음악 및 미술치료사
직업,24594,놀이 및 행동치료사
직업,24599,그 외 치료·재활사 및 의료기사
직업,24611,119 구조대원
직업,24612,구급 요원
직업,24620,위생사
직업,24630,안경사
직업,24640,의무 기록사
직업,24650,간호조무사
직업,24660,안마사
직업,24710,사회복지사
직업,24720,보육교사
직업,24730,직업상담사
직업,24740,상담 전문가
직업,24750,청소년 지도사
직업,24760,시민 단체 활동가
직업,24791,복지시설 생활 지도원
직업,24799,그 외 사회복지 관련 종사원
직업,24811,목사
직업,24812,신부
직업,24813,승려
직업,24814,교무
직업,24819,그 외 성직자
직업,24891,수녀 및 수사
직업,24892,전도사
직업,24899,그 외 종교 관련 종사원
직업,25111,교육 분야 교수
직업,25112,예술 및 인문학 교수
